Change Component Parameter Footprint in B1 Old=RB5-10.5 New=XH2.54-2P
Change Component Parameter Footprint in C2 Old=RAD-0.3 New=CB1
Change Component Parameter Footprint in C3 Old=RAD-0.3 New=CB1
Change Component Parameter Footprint in C4 Old=RAD-0.3 New=CB1
Change Component Parameter Footprint in C5 Old=RAD-0.3 New=CB1
Change Component Parameter Footprint in C7 Old=RAD-0.3 New=CB1
Change Component Parameter Footprint in C8 Old=RAD-0.3 New=CB1
Change Component Parameter Footprint in D1 Old=DO-35 New=DIODE0.3
Change Component Parameter Footprint in P3 Old=HDR2X3 New=SW6-2
Change Component Parameter Footprint in P4 Old=HDR1X5 New=microusb 
Change Component Parameter Footprint in Q1 Old=SOT-23B_N New=8050
Change Component Parameter Footprint in Q2 Old=TO-226-AA New=8050
Change Component Parameter Footprint in Q3 Old=SOT-23B_N New=8050
Change Component Parameter Footprint in Q4 Old=SOT-23B_N New=8050
Change Component Parameter Footprint in Q5 Old=SOT-23B_N New=8050
Change Component Parameter Footprint in Q6 Old=SOT-23B_N New=8050
Change Component Parameter Footprint in R1 Old=AXIAL-0.4 New=AXIAL-0.3
Change Component Parameter Footprint in R2 Old=AXIAL-0.4 New=AXIAL-0.3
Change Component Parameter Footprint in R3 Old=AXIAL-0.4 New=AXIAL-0.3
Change Component Parameter Footprint in R4 Old=AXIAL-0.4 New=AXIAL-0.3
Change Component Parameter Footprint in R5 Old=AXIAL-0.4 New=AXIAL-0.3
Change Component Parameter Footprint in R6 Old=AXIAL-0.4 New=AXIAL-0.3
Change Component Parameter Footprint in R7 Old=AXIAL-0.4 New=AXIAL-0.3
Change Component Parameter Footprint in R8 Old=AXIAL-0.4 New=AXIAL-0.3
Change Component Parameter Footprint in R9 Old=AXIAL-0.4 New=AXIAL-0.3
Change Component Parameter Footprint in R10 Old=AXIAL-0.4 New=AXIAL-0.3
Change Component Parameter Footprint in R11 Old=AXIAL-0.4 New=AXIAL-0.3
Change Component Parameter Footprint in S1 Old=DPST-4 New=ANJIAN 
Change Component Parameter Footprint in S2 Old=DPST-4 New=ANJIAN 
Change Component Parameter Footprint in S3 Old=DPST-4 New=ANJIAN 
Change Component Parameter Footprint in S4 Old=DPST-4 New=ANJIAN 
Change Component Parameter Footprint in Y1 Old=R38 New=JZ
Change Component Parameter Footprint in Y2 Old=R38 New=JZ
